timestamp,dr7fd3,drkmbf,dr7vtr,drk7tw,drk5jp,drkezj,drkw1u,drkvcy
2018-10-03 16:00:00,208.932,171.585,35.9,36.877,169.183,32.975,13.899,12.896
2018-10-03 17:00:00,174.934,132.656,27.815,30.041,133.25,28.794,12.67,11.084
2018-10-03 18:00:00,122.287,97.009,19.22,22.421,95.211,23.508,10.537,8.545
2018-10-03 19:00:00,89.141,79.099,13.618,16.037,64.03,19.385,9.206,6.989
2018-10-03 20:00:00,60.349,63.755,9.964,11.767,45.106,17.377,7.994,6.222
2018-10-03 21:00:00,41.373,46.324,7.466,7.602,31.191,13.353,6.059,4.749
2018-10-03 22:00:00,26.706,32.187,4.621,4.88,19.783,8.994,4.416,3.35
2018-10-03 23:00:00,17.662,24.918,2.959,3.562,13.001,6.308,2.916,2.324
2018-10-04 00:00:00,12.89,22.732,1.905,3.24,9.961,4.817,2.023,1.715
2018-10-04 01:00:00,11.062,19.942,1.455,3.175,8.81,3.345,1.276,1.504
2018-10-04 02:00:00,10.869,20.66,1.454,3.15,8.199,3.364,1.073,1.317
2018-10-04 03:00:00,10.224,21.032,1.512,3.018,7.895,3.161,1.012,1.219
2018-10-04 04:00:00,13.447,24.342,1.643,3.464,9.351,3.848,1.143,1.358
2018-10-04 05:00:00,17.449,31.121,1.978,4.176,12.952,4.662,1.711,1.876
2018-10-04 06:00:00,21.958,36.896,2.457,4.67,16.039,6.34,2.538,2.354
2018-10-04 07:00:00,28.841,45.221,3.34,6.297,24.872,7.128,2.804,2.715
2018-10-04 08:00:00,39.01,62.791,6.139,10.511,46.53,9.024,3.745,3.795
2018-10-04 09:00:00,48.362,100.756,9.905,20.146,100.486,16.453,6.546,7.294
2018-10-04 10:00:00,71.614,166.66,14.841,30.51,144.833,29.881,11.615,12.404
2018-10-04 11:00:00,101.916,219.683,19.893,36.058,169.53,44.94,18.087,17.34
2018-10-04 12:00:00,142.438,255.917,26.134,40.538,189.313,53.997,22.066,21.336
2018-10-04 13:00:00,171.151,251.56,30.071,44.537,207.55,56.325,23.327,22.544
2018-10-04 14:00:00,163.152,229.549,28.637,41.822,193.224,53.612,22.837,21.597
2018-10-04 15:00:00,148.682,205.806,24.019,35.4,164.671,47.493,20.121,19.546
2018-10-04 16:00:00,130.389,194.433,22.644,31.008,143.155,40.215,17.32,16.325
2018-10-04 17:00:00,119.2,174.908,20.664,29.277,136.083,35.567,15.455,14.166
2018-10-04 18:00:00,106.53,148.33,18.532,25.427,119.911,32.171,14.164,11.742
2018-10-04 19:00:00,88.851,135.244,16.418,23.406,106.357,28.856,13.511,10.517
2018-10-04 20:00:00,72.15,112.717,14.385,20.389,86.815,24.861,11.365,9.393
2018-10-04 21:00:00,56.502,88.682,12.069,15.463,64.381,19.259,8.81,7.597
2018-10-04 22:00:00,42.173,69.231,9.371,11.464,47.423,12.91,6.49,5.315
2018-10-04 23:00:00,31.393,48.281,6.668,9.304,35.157,8.832,4.463,3.416
2018-10-05 00:00:00,21.105,35.019,4.112,7.629,25.07,6.691,2.854,2.515
2018-10-05 01:00:00,16.607,28.543,2.687,5.653,17.411,5.104,2.09,2.127
2018-10-05 02:00:00,14.404,26.887,2.12,4.223,13.456,4.729,1.767,1.957
2018-10-05 03:00:00,11.123,24.339,1.677,3.897,12.14,3.713,1.19,1.674
2018-10-05 04:00:00,13.588,23.467,1.633,4.095,12.28,3.228,1.109,1.487
2018-10-05 05:00:00,17.18,23.785,1.888,3.984,15.383,3.836,1.622,1.075
2018-10-05 06:00:00,22.336,25.48,2.256,4.818,18.471,3.876,1.499,1.08
2018-10-05 07:00:00,28.144,29.981,3.29,5.779,23.024,5.917,2.896,1.552
2018-10-05 08:00:00,41.053,35.801,5.236,6.533,27.649,8.609,4.332,2.358
2018-10-05 09:00:00,51.706,41.044,7.55,8.663,40.117,11.468,5.839,3.905
2018-10-05 10:00:00,68.05,48.755,8.825,11.138,52.382,14.149,5.92,4.819
2018-10-05 11:00:00,85.96,61.86,10.289,14.579,68.651,17.162,7.608,6.921
2018-10-05 12:00:00,113.732,77.011,13.189,18.642,85.24,24.5,11.093,10.666
2018-10-05 13:00:00,147.007,97.89,17.031,24.249,109.302,34.726,15.47,15.016
2018-10-05 14:00:00,168.813,120.506,21.651,28.161,127.632,42.479,19.16,17.968
2018-10-05 15:00:00,159.428,140.467,25.062,31.011,143.407,45.834,20.758,19.048
2018-10-05 16:00:00,144.436,133.467,25.159,30.427,136.434,44.875,20.651,17.759
2018-10-05 17:00:00,123.995,94.826,19.855,23.784,104.37,31.106,14.762,11.751
2018-10-05 18:00:00,87.198,55.251,13.156,16.92,73.567,18.291,8.706,6.423
2018-10-05 19:00:00,67.012,38.747,10.081,12.904,53.997,12.329,6.475,4.314
2018-10-05 20:00:00,51.003,31.507,9.156,11.046,43.436,8.024,4.104,2.492
